,UNIT_TYPE,CLIMATE_REGION,DECADE_BUILT,FLOOR_AREA_log,COOL_TYPE,EQUIP_AGE,HEAT_TYPE,THERMOSTAT,HIGH_CEIL,ATTIC,BASEMENT,BEDROOMS,BATHROOMS,SIZEOFGARAGE,STORIES,OWNERSHIP,COOL_COST_log,HEAT_COST_log,WATERHEAT_COST_log,ELECT_COST_log,TOT_COST_log
34,Attached house,Mixed-Humid,1970-1979,7.2909747781429814,Central,F: +20 yrs,Other individual,1.0,0.0,0.0,0.0,3,2.5-3.5,2.0,2,Owned,5.500196422557522,6.776472784261436,5.22122031616307,7.281275540507649,7.9217932186940345
35,Attached house,Mixed-Humid,.<1950,7.7664168980196555,Individual,F: +20 yrs,Central water system,0.0,1.0,0.0,1.0,3,1.5-2,0.0,2,Owned,4.8469392014254655,6.913657824634751,4.656718447868668,5.99181448587227,7.39982612626448
36,Detached house,Hot-Humid,1980-1989,8.101374671228582,None,C: 5-9 yrs,Central furnace,1.0,0.0,1.0,0.0,3,1.5-2,2.0,1,Owned,0.0,6.39627944387456,6.462842231906861,7.7332281255703474,8.166628115589706
37,Detached house,Mixed-Humid,1970-1979,7.428333194190806,Central,E: 15-19 yrs,Central furnace,0.0,0.0,0.0,0.0,3,1.5-2,1.0,1,Owned,5.8144886766387796,5.9051983469505736,4.85624013994314,6.521622099173465,7.318061980969745
38,Detached house,Cold/Very Cold,2000-2009,7.601402334583733,None,E: 15-19 yrs,Other individual,0.0,1.0,0.0,0.0,0-2,0-1,0.0,1,Owned,0.0,5.45660234551375,5.3354204544995385,6.150602768446279,6.812191066914349
39,Detached house,Mixed-Humid,1970-1979,6.957497370876951,Individual,A: -2 yrs,Central furnace,0.0,1.0,0.0,0.0,3,0-1,0.0,1,Rented,4.899405737409714,7.032871362005312,6.154093470556201,7.743612226722324,8.30447510558561
40,Detached house,Mixed-Humid,1950-1959,7.831617276352611,Central,C: 5-9 yrs,Central furnace,1.0,0.0,0.0,1.0,4,1.5-2,1.0,2,Owned,6.13333296495721,7.300938607187392,5.76290007913929,7.352043585347569,8.247301265061777
41,Detached house,Mixed-Humid,.<1950,7.703459047867175,Central,B: 2-4 yrs,Central furnace,0.0,0.0,1.0,1.0,3,1.5-2,1.0,1,Owned,5.767570714403068,6.223587661202768,4.344843843546165,7.125307226376341,7.6692057599962355
42,Detached house,Hot-Dry/Mixed-Dry,1960-1969,7.335633981927201,Central,E: 15-19 yrs,Central furnace,1.0,0.0,0.0,0.0,4,1.5-2,2.0,1,Owned,6.035505355683571,5.839623697567614,5.244441793578718,6.804947059000455,7.523194939860158
43,Apartment in bld with 5+ units,Cold/Very Cold,1980-1989,6.699500340161678,Central,C: 5-9 yrs,Central furnace,0.0,0.0,0.0,0.0,0-2,0-1,0.0,1,Rented,3.6928714753834737,5.307871579352848,6.0897702358921055,7.059995563737636,7.5201478318469475
44,Detached house,Marine,1980-1989,7.765569081097317,None,E: 15-19 yrs,Central furnace,0.0,1.0,0.0,0.0,4,+3.5,2.0,3,Owned,0.0,6.038467400703318,5.127884854146496,7.696135363633443,7.932268826223153
