,UNIT_TYPE,CLIMATE_REGION,DECADE_BUILT,FLOOR_AREA,COOL_TYPE,EQUIP_AGE,HEAT_TYPE,HIGH_CEIL,ATTIC,BASEMENT,BEDROOMS,THERMOSTAT,SIZEOFGARAGE,STORIES,OWNERSHIP,COOL_COST,HEAT_COST,WATERHEAT_COST,HOTTUB,SWIMPOOL,BATHROOMS,ELECT_COST,TOT_COST
1278,Attached house,Hot-Humid,1960-1969,1242.0,Central,E: 15-19 yrs,Central heat pump,0.0,0.0,0.0,0-2,0.0,,2,Rented,287.19,105.58,242.92,0,0.0,1.5-2,762.5799999999999,1398.27
1279,Detached house,Cold/Very Cold,2000-2009,2377.0,Central,D: 10-14 yrs,Central furnace,0.0,1.0,1.0,4,0.0,2.0,2,Owned,175.46,450.54,170.71,0,0.0,2.5-3.5,1268.77,2065.48
1280,Detached house,Cold/Very Cold,1990-1999,925.0,Central,C: 5-9 yrs,Central furnace,0.0,0.0,0.0,0-2,1.0,,1,Owned,101.59,369.52,246.31,0,0.0,1.5-2,743.55,1460.97
1281,Detached house,Cold/Very Cold,.<1950,2139.0,Central,C: 5-9 yrs,Central furnace,1.0,0.0,1.0,3,1.0,,2,Owned,146.33,856.44,149.49,0,0.0,1.5-2,1060.8400000000001,2213.1000000000004
1282,Detached house,Cold/Very Cold,1970-1979,4210.0,Individual,F: +20 yrs,Central water system,0.0,1.0,1.0,3,1.0,,1,Owned,130.39,2062.23,172.36,0,0.0,1.5-2,1572.6799999999998,3937.66
1283,Detached house,Hot-Humid,1960-1969,1614.0,Individual,B: 2-4 yrs,Central furnace,1.0,0.0,0.0,4,1.0,,1,Rented,1117.11,280.8,469.17,0,0.0,0-1,509.8900000000001,2376.9700000000003
1284,Apartment in bld with 2-4 units,Mixed-Humid,1980-1989,1081.0,Central,E: 15-19 yrs,Central furnace,1.0,,,0-2,1.0,,NA,Owned,111.52,616.76,354.42,0,,1.5-2,1533.48,2616.1800000000003
1285,Detached house,Cold/Very Cold,.<1950,2110.0,Individual,C: 5-9 yrs,Other individual,0.0,1.0,1.0,0-2,,,2,Rented,19.26,1935.84,44.81,0,0.0,1.5-2,368.71000000000004,2368.62
1286,Apartment in bld with 5+ units,Mixed-Humid,1960-1969,750.0,Individual,F: +20 yrs,Other individual,0.0,,,0-2,1.0,,NA,Rented,110.95,378.55,246.09,0,,0-1,826.3299999999999,1561.92
1287,Attached house,Hot-Humid,1980-1989,726.0,Individual,A: -2 yrs,Other individual,0.0,0.0,0.0,0-2,1.0,,1,Rented,288.25,52.15,258.75,0,0.0,0-1,752.75,1351.9
1288,Attached house,Hot-Dry/Mixed-Dry,2000-2009,667.0,Individual,None,None,0.0,0.0,0.0,0-2,,,1,Rented,29.57,0.0,140.43,0,0.0,0-1,168.98000000000002,338.98
1289,Detached house,Marine,1960-1969,2180.0,Central,A: -2 yrs,Central heat pump,0.0,1.0,0.0,3,1.0,2.0,2,Owned,144.3,382.17,216.3,0,0.0,2.5-3.5,626.0699999999999,1368.84
1290,Detached house,Mixed-Humid,1950-1959,2494.0,Central,B: 2-4 yrs,Central furnace,0.0,1.0,1.0,+4,1.0,1.0,1,Owned,260.88,618.26,160.89,0,1.0,1.5-2,1354.54,2394.5699999999997
1291,Detached house,Hot-Dry/Mixed-Dry,.<1950,950.0,None,B: 2-4 yrs,Other individual,0.0,0.0,0.0,3,,1.0,1,Owned,0.0,30.48,101.13,0,0.0,1.5-2,254.96,386.57
1292,Detached house,Hot-Humid,1970-1979,1370.0,Central,E: 15-19 yrs,Central heat pump,0.0,1.0,0.0,0-2,1.0,1.0,1,Owned,269.83,49.67,168.75,0,0.0,1.5-2,768.24,1256.49
1293,Attached house,Hot-Dry/Mixed-Dry,2010-2015,1956.0,Central,C: 5-9 yrs,Central furnace,0.0,0.0,0.0,0-2,1.0,2.0,2,Rented,166.27,73.3,115.54,0,0.0,0-1,357.61,712.72
1294,Apartment in bld with 5+ units,Hot-Dry/Mixed-Dry,1970-1979,473.0,Individual,B: 2-4 yrs,Central furnace,0.0,,,0-2,0.0,,NA,Rented,73.45,96.31,293.53,0,,0-1,557.55,1020.8399999999999
1295,Detached house,Hot-Humid,1980-1989,1267.0,Central,A: -2 yrs,Central furnace,0.0,1.0,0.0,4,0.0,1.0,1,Owned,253.44,227.92,140.51,0,0.0,1.5-2,811.9199999999998,1433.79
1296,Apartment in bld with 2-4 units,Marine,2000-2009,1515.0,None,C: 5-9 yrs,Other individual,0.0,,,0-2,1.0,,NA,Rented,0.0,294.36,224.09,0,,0-1,880.24,1398.69
1297,Attached house,Cold/Very Cold,1980-1989,1064.0,Central,F: +20 yrs,Other individual,0.0,1.0,1.0,0-2,0.0,1.0,1,Owned,47.84,424.07,280.41,0,0.0,1.5-2,1365.52,2117.84
1298,Detached house,Cold/Very Cold,.<1950,2288.0,Individual,B: 2-4 yrs,Central furnace,0.0,0.0,1.0,3,0.0,,2,Owned,72.97,162.7,643.41,0,0.0,0-1,1152.32,2031.3999999999999
1299,Apartment in bld with 5+ units,Cold/Very Cold,2000-2009,745.0,Individual,B: 2-4 yrs,Central furnace,0.0,,,,0.0,,NA,Rented,42.06,91.49,87.51,0,,0-1,210.26,431.32
1300,Apartment in bld with 2-4 units,Mixed-Humid,2010-2015,1184.0,Central,A: -2 yrs,Central heat pump,0.0,,,3,1.0,,NA,Rented,76.24,65.03,175.46,0,,1.5-2,505.46000000000004,822.19
1301,Detached house,Cold/Very Cold,.<1950,2610.0,Both central and individual,B: 2-4 yrs,Central furnace,0.0,1.0,1.0,3,1.0,1.0,1,Owned,119.63,436.67,197.37,0,0.0,1.5-2,986.65,1740.32
1302,Apartment in bld with 5+ units,Hot-Humid,2000-2009,797.0,Central,C: 5-9 yrs,Central furnace,0.0,,,0-2,0.0,,NA,Rented,186.56,49.23,813.05,0,,1.5-2,1336.94,2385.7799999999997
1303,Detached house,Cold/Very Cold,1970-1979,3188.0,Central,C: 5-9 yrs,Central furnace,1.0,1.0,1.0,3,1.0,2.0,Split-level,Owned,77.53,495.37,128.13,0,0.0,2.5-3.5,733.52,1434.55
1304,Mobile home,Mixed-Humid,1990-1999,780.0,Central,A: -2 yrs,Central furnace,,,,0-2,1.0,,NA,Owned,91.44,256.48,432.59,0,0.0,1.5-2,931.04,1711.55
1305,Detached house,Mixed-Humid,2010-2015,1384.0,Central,B: 2-4 yrs,Central furnace,1.0,1.0,0.0,3,0.0,3.0,1,Owned,101.46,343.48,837.14,0,0.0,2.5-3.5,1449.32,2731.3999999999996
1306,Detached house,Cold/Very Cold,1980-1989,1560.0,Both central and individual,C: 5-9 yrs,Central furnace,0.0,0.0,0.0,3,0.0,,1,Owned,57.0,1173.85,288.31,0,0.0,1.5-2,1928.41,3447.5699999999997
1307,Detached house,Marine,.<1950,4680.0,Individual,F: +20 yrs,Central water system,1.0,0.0,1.0,4,0.0,,2,Owned,65.9,1160.39,182.13,0,0.0,1.5-2,1158.8999999999999,2567.3199999999997
1308,Detached house,Hot-Dry/Mixed-Dry,1980-1989,1796.0,Central,C: 5-9 yrs,Central heat pump,0.0,1.0,0.0,3,0.0,2.0,1,Owned,677.3,120.81,313.53,0,0.0,1.5-2,976.8900000000001,2088.5299999999997
1309,Apartment in bld with 5+ units,Mixed-Humid,1970-1979,591.0,None,B: 2-4 yrs,Central water system,0.0,,,,,,NA,Rented,0.0,134.07,129.54,0,,0-1,860.0,1123.6100000000001
1310,Apartment in bld with 5+ units,Hot-Humid,1990-1999,1012.0,Central,F: +20 yrs,Other individual,1.0,,,0-2,0.0,,NA,Rented,251.35,381.94,371.56,0,,1.5-2,1058.16,2063.01
1311,Detached house,Mixed-Humid,.<1950,1481.0,Central,A: -2 yrs,Central furnace,1.0,1.0,1.0,3,1.0,,1,Owned,319.31,521.76,301.96,0,0.0,1.5-2,1273.56,2416.59
1312,Detached house,Cold/Very Cold,.<1950,600.0,Individual,F: +20 yrs,Central furnace,1.0,0.0,1.0,0-2,0.0,,1,Rented,22.6,778.39,226.16,0,0.0,0-1,1526.65,2553.8
1313,Attached house,Hot-Humid,2000-2009,612.0,Central,D: 10-14 yrs,Central furnace,0.0,1.0,0.0,0-2,1.0,2.0,1,Owned,129.45,177.36,312.7,0,0.0,1.5-2,1082.6,1702.11
1314,Apartment in bld with 5+ units,Hot-Dry/Mixed-Dry,1970-1979,372.0,Individual,B: 2-4 yrs,Central furnace,0.0,,,,1.0,,NA,Rented,53.86,15.69,178.68,0,,0-1,289.59,537.8199999999999
1315,Detached house,Cold/Very Cold,1980-1989,3084.0,Central,C: 5-9 yrs,Central furnace,0.0,1.0,1.0,3,1.0,,2,Owned,230.4,489.15,173.06,0,0.0,2.5-3.5,1123.2099999999998,2015.8199999999997
1316,Detached house,Cold/Very Cold,2010-2015,2408.0,Central,B: 2-4 yrs,Central furnace,0.0,0.0,0.0,0-2,1.0,2.0,1,Owned,184.76,471.01,156.13,0,0.0,1.5-2,790.82,1602.72
1317,Detached house,Mixed-Humid,1980-1989,3399.0,Central,B: 2-4 yrs,Central furnace,0.0,1.0,1.0,4,0.0,2.0,1,Owned,274.32,426.48,95.26,0,0.0,2.5-3.5,792.8800000000001,1588.94
1318,Detached house,Marine,1960-1969,2064.0,None,C: 5-9 yrs,Central furnace,0.0,0.0,0.0,3,0.0,1.0,1,Owned,0.0,589.07,98.82,0,0.0,1.5-2,594.78,1282.67
1319,Detached house,Mixed-Humid,1970-1979,1063.0,Central,C: 5-9 yrs,Central furnace,0.0,0.0,0.0,3,0.0,1.0,1,Owned,125.33,281.05,220.62,0,0.0,1.5-2,738.9599999999999,1365.96
1320,Attached house,Cold/Very Cold,.<1950,1350.0,Individual,D: 10-14 yrs,Central furnace,0.0,0.0,1.0,0-2,1.0,,2,Owned,154.4,985.61,122.83,0,0.0,0-1,768.15,2030.9899999999998
1321,Detached house,Hot-Dry/Mixed-Dry,1980-1989,1104.0,Central,D: 10-14 yrs,Central heat pump,1.0,0.0,0.0,0-2,0.0,2.0,1,Owned,336.67,80.21,263.17,0,0.0,2.5-3.5,871.03,1551.08
1322,Detached house,Hot-Humid,1990-1999,2606.0,Central,D: 10-14 yrs,Central furnace,0.0,1.0,0.0,4,1.0,,2,Owned,910.37,495.39,230.35,1,1.0,2.5-3.5,3007.4,4643.51
1323,Detached house,Hot-Humid,2000-2009,4150.0,Central,C: 5-9 yrs,Other individual,1.0,1.0,0.0,4,0.0,2.0,1,Owned,560.88,198.97,214.58,0,0.0,2.5-3.5,1584.23,2558.66
1324,Detached house,Mixed-Humid,1980-1989,822.0,Central,B: 2-4 yrs,Central furnace,1.0,0.0,0.0,3,0.0,,1,Owned,160.5,216.99,203.66,1,0.0,1.5-2,1310.16,1891.31
1325,Mobile home,Mixed-Humid,1980-1989,756.0,Individual,B: 2-4 yrs,Other individual,,,,0-2,1.0,,NA,Owned,59.94,595.13,431.62,0,0.0,0-1,1590.3899999999999,2677.08
1326,Detached house,Hot-Humid,1980-1989,1604.0,Central,F: +20 yrs,Central furnace,1.0,1.0,0.0,3,0.0,2.0,1,Owned,123.19,352.78,144.92,0,0.0,1.5-2,505.94,1126.83
1327,Detached house,Mixed-Humid,1970-1979,3243.0,None,D: 10-14 yrs,Central heat pump,0.0,1.0,0.0,4,0.0,2.0,2,Owned,0.0,934.59,390.34,0,0.0,2.5-3.5,2883.21,4208.14
1328,Detached house,Cold/Very Cold,1960-1969,2060.0,None,C: 5-9 yrs,Central furnace,1.0,0.0,1.0,4,0.0,2.0,Split-level,Owned,0.0,4766.66,255.99,0,0.0,1.5-2,1004.75,6027.4
1329,Detached house,Mixed-Humid,1960-1969,1665.0,Individual,C: 5-9 yrs,Other individual,0.0,0.0,1.0,3,0.0,,1,Owned,128.64,388.5,701.84,0,0.0,0-1,1217.4,2436.38
1330,Detached house,Cold/Very Cold,1980-1989,2080.0,Central,E: 15-19 yrs,Central furnace,1.0,0.0,1.0,0-2,1.0,,1,Owned,39.75,621.1,137.98,0,0.0,1.5-2,965.62,1764.45
1331,Detached house,Mixed-Humid,1980-1989,2232.0,Central,B: 2-4 yrs,Other individual,1.0,1.0,0.0,+4,1.0,1.0,2,Owned,381.73,1187.22,559.5,0,0.0,+3.5,2299.71,4428.16
1332,Detached house,Cold/Very Cold,1980-1989,2353.0,Central,B: 2-4 yrs,Central furnace,1.0,1.0,1.0,4,1.0,2.0,3,Owned,142.72,727.89,127.43,0,0.0,2.5-3.5,769.0799999999999,1767.12
1333,Detached house,Hot-Humid,2000-2009,2593.0,Central,C: 5-9 yrs,Central furnace,1.0,0.0,0.0,4,1.0,2.0,2,Owned,983.88,234.78,202.58,0,0.0,2.5-3.5,1013.2500000000001,2434.4900000000002
1334,Detached house,Mixed-Humid,1980-1989,1012.0,Central,C: 5-9 yrs,Central heat pump,1.0,1.0,0.0,0-2,1.0,,1,Owned,140.12,337.29,572.98,0,0.0,1.5-2,1641.0300000000002,2691.42
1335,Detached house,Mixed-Humid,1960-1969,1400.0,Central,C: 5-9 yrs,Central furnace,0.0,1.0,0.0,3,1.0,,1,Owned,218.45,860.05,335.22,1,0.0,1.5-2,1050.31,2464.0299999999997
1336,Detached house,Cold/Very Cold,1980-1989,3186.0,Central,A: -2 yrs,Central furnace,0.0,0.0,1.0,3,1.0,3.0,2,Owned,100.63,480.48,138.91,0,0.0,2.5-3.5,1412.2399999999998,2132.2599999999998
1337,Detached house,Cold/Very Cold,1960-1969,2214.0,Central,F: +20 yrs,Central furnace,1.0,0.0,1.0,3,1.0,2.0,1,Owned,58.27,626.9,143.44,0,0.0,1.5-2,699.66,1528.27
1338,Detached house,Hot-Dry/Mixed-Dry,2000-2009,3160.0,Central,D: 10-14 yrs,Central furnace,1.0,0.0,0.0,4,1.0,2.0,2,Owned,61.09,272.69,144.77,0,0.0,2.5-3.5,506.76,985.31
1339,Mobile home,Cold/Very Cold,1990-1999,1216.0,Central,B: 2-4 yrs,Central furnace,,,,3,1.0,,NA,Rented,34.59,458.81,194.55,0,0.0,1.5-2,907.12,1595.0700000000002
1340,Apartment in bld with 5+ units,Hot-Dry/Mixed-Dry,1960-1969,538.0,Central,B: 2-4 yrs,Central furnace,0.0,,,0-2,1.0,,NA,Rented,241.86,38.39,117.61,0,,0-1,265.14,663.0
1341,Detached house,Mixed-Humid,.<1950,1674.0,Central,D: 10-14 yrs,Central furnace,0.0,1.0,0.0,3,0.0,,1,Owned,426.65,464.67,156.67,0,0.0,0-1,928.6999999999999,1976.69
1342,Detached house,Cold/Very Cold,1970-1979,3766.0,Central,B: 2-4 yrs,Other individual,1.0,1.0,1.0,3,0.0,2.0,1,Owned,99.85,932.93,603.81,0,0.0,1.5-2,2040.6,3677.1899999999996
1343,Detached house,Marine,1970-1979,3986.0,Central,C: 5-9 yrs,Central furnace,0.0,1.0,0.0,+4,1.0,2.0,2,Owned,132.74,433.85,99.99,0,0.0,2.5-3.5,1620.76,2287.34
1344,Detached house,Hot-Humid,1950-1959,1312.0,Central,C: 5-9 yrs,Central furnace,0.0,1.0,0.0,0-2,1.0,,1,Owned,238.69,529.79,271.73,0,0.0,0-1,1061.95,2102.16
1345,Apartment in bld with 5+ units,Cold/Very Cold,1980-1989,775.0,Central,B: 2-4 yrs,Central heat pump,0.0,,,0-2,1.0,,NA,Rented,14.12,61.0,364.53,0,,0-1,926.88,1366.53
1346,Mobile home,Mixed-Humid,1970-1979,793.0,None,F: +20 yrs,Central furnace,,,,3,1.0,,NA,Owned,0.0,1083.29,495.96,0,0.0,1.5-2,1780.54,3359.79
1347,Apartment in bld with 5+ units,Cold/Very Cold,2000-2009,580.0,Individual,D: 10-14 yrs,Central heat pump,0.0,,,,0.0,,NA,Rented,31.1,118.44,205.89,0,,0-1,484.9,840.3299999999999
1348,Mobile home,Mixed-Humid,1990-1999,780.0,Individual,E: 15-19 yrs,Other individual,,,,0-2,1.0,,NA,Owned,124.26,139.24,582.2,0,0.0,1.5-2,1292.69,2138.3900000000003
1349,Detached house,Hot-Humid,1990-1999,1050.0,None,B: 2-4 yrs,Other individual,0.0,1.0,0.0,3,,1.0,1,Owned,0.0,190.2,212.27,0,0.0,1.5-2,860.91,1263.38
1350,Apartment in bld with 2-4 units,Mixed-Humid,1970-1979,756.0,Central,D: 10-14 yrs,Central heat pump,0.0,,,0-2,0.0,,NA,Rented,175.58,175.92,240.01,0,,0-1,805.77,1397.28
1351,Detached house,Hot-Dry/Mixed-Dry,1960-1969,1533.0,Central,B: 2-4 yrs,Central furnace,1.0,0.0,0.0,3,1.0,,1,Owned,664.44,398.01,286.36,0,1.0,1.5-2,797.3699999999999,2146.18
1352,Mobile home,Hot-Dry/Mixed-Dry,1950-1959,1152.0,None,None,None,,,,4,,,NA,Rented,0.0,0.0,382.4,0,0.0,1.5-2,2427.58,2809.98
1353,Detached house,Cold/Very Cold,1980-1989,3712.0,Central,F: +20 yrs,Central furnace,1.0,1.0,1.0,4,1.0,3.0,2,Owned,123.7,769.82,190.59,0,1.0,2.5-3.5,1311.3,2395.41
1354,Detached house,Cold/Very Cold,1980-1989,1933.0,Central,D: 10-14 yrs,Other individual,1.0,1.0,0.0,3,1.0,2.0,2,Owned,194.32,781.72,637.02,0,1.0,1.5-2,2260.25,3873.31
1355,Detached house,Mixed-Humid,1980-1989,1400.0,Central,C: 5-9 yrs,Other individual,0.0,1.0,0.0,3,,2.0,1,Owned,200.56,394.11,704.99,0,0.0,1.5-2,1948.56,3248.2200000000003
1356,Detached house,Mixed-Humid,1980-1989,1232.0,Central,F: +20 yrs,Other individual,0.0,1.0,0.0,3,,,1,Owned,280.01,517.75,466.44,0,0.0,1.5-2,1022.28,2286.48
1357,Detached house,Mixed-Humid,2010-2015,2625.0,Both central and individual,A: -2 yrs,Central furnace,0.0,0.0,1.0,+4,0.0,2.0,2,Owned,169.19,662.91,327.51,0,0.0,+3.5,1191.3,2350.91
1358,Detached house,Mixed-Humid,1960-1969,1576.0,Central,A: -2 yrs,Central heat pump,1.0,0.0,0.0,0-2,1.0,2.0,1,Owned,283.1,1096.63,363.22,0,0.0,2.5-3.5,2084.9,3827.8500000000004
1359,Detached house,Mixed-Humid,1980-1989,1670.0,Central,E: 15-19 yrs,Other individual,0.0,1.0,0.0,3,1.0,,2,Owned,262.21,0.0,497.91,0,0.0,2.5-3.5,1063.34,1823.46
1360,Detached house,Mixed-Humid,1960-1969,1653.0,Central,D: 10-14 yrs,Central furnace,0.0,0.0,0.0,4,1.0,,1,Owned,222.1,278.69,480.46,0,0.0,2.5-3.5,1338.39,2319.6400000000003
1361,Detached house,Cold/Very Cold,1950-1959,718.0,Individual,D: 10-14 yrs,Other individual,0.0,0.0,0.0,0-2,,1.0,1,Rented,45.8,368.95,533.68,0,0.0,0-1,1388.3500000000001,2336.78
1362,Detached house,Mixed-Humid,1950-1959,1680.0,Central,D: 10-14 yrs,Central furnace,0.0,0.0,1.0,0-2,1.0,,1,Owned,326.59,753.51,120.06,0,0.0,0-1,492.01000000000005,1692.1699999999998
1363,Apartment in bld with 5+ units,Cold/Very Cold,1970-1979,1064.0,Individual,C: 5-9 yrs,Central water system,0.0,,,0-2,,,NA,Rented,26.29,190.11,96.86,0,,1.5-2,334.03999999999996,647.3
1364,Detached house,Cold/Very Cold,.<1950,6720.0,Individual,C: 5-9 yrs,Other individual,1.0,1.0,1.0,3,0.0,,3,Owned,352.63,482.62,321.16,0,0.0,1.5-2,1794.96,2951.37
1365,Detached house,Cold/Very Cold,1980-1989,4880.0,Individual,E: 15-19 yrs,Central furnace,1.0,0.0,1.0,4,1.0,2.0,1,Owned,54.4,1806.86,672.52,0,1.0,0-1,3109.2999999999997,5643.08
1366,Attached house,Hot-Humid,1970-1979,3072.0,Central,E: 15-19 yrs,Central furnace,1.0,1.0,0.0,0-2,0.0,1.0,1,Rented,616.79,485.0,147.61,0,0.0,1.5-2,1312.98,2562.38
1367,Detached house,Hot-Humid,2000-2009,1408.0,Central,F: +20 yrs,Other individual,0.0,0.0,0.0,3,0.0,,1,Owned,750.12,656.42,240.07,0,1.0,1.5-2,2357.88,4004.49
1368,Attached house,Cold/Very Cold,1950-1959,1245.0,None,A: -2 yrs,Central furnace,0.0,0.0,0.0,3,0.0,2.0,2,Rented,0.0,748.74,232.88,0,0.0,1.5-2,695.3,1676.92
1369,Detached house,Hot-Humid,2000-2009,2600.0,Central,C: 5-9 yrs,Other individual,0.0,1.0,0.0,3,1.0,2.0,2,Rented,291.75,275.13,290.92,0,0.0,2.5-3.5,1915.3400000000001,2773.1400000000003
1370,Detached house,Marine,.<1950,2700.0,Individual,F: +20 yrs,Central furnace,0.0,0.0,1.0,0-2,1.0,,2,Owned,117.83,292.11,271.48,0,0.0,1.5-2,731.3499999999999,1412.77
1371,Detached house,Mixed-Humid,1970-1979,1008.0,None,A: -2 yrs,Other individual,0.0,0.0,0.0,0-2,0.0,,2,Owned,0.0,0.0,439.72,0,0.0,0-1,1398.77,1838.49
1372,Apartment in bld with 5+ units,Cold/Very Cold,1950-1959,623.0,Central,C: 5-9 yrs,Central water system,0.0,,,0-2,0.0,,NA,Rented,34.41,132.65,89.35,0,,0-1,195.59,452.0
1373,Detached house,Mixed-Humid,1970-1979,4330.0,Central,E: 15-19 yrs,Central furnace,0.0,0.0,1.0,3,1.0,2.0,1,Owned,159.87,128.34,168.59,0,0.0,1.5-2,853.86,1310.66
1374,Mobile home,Hot-Humid,1970-1979,1008.0,None,None,None,,,,3,,,NA,Rented,0.0,0.0,239.0,0,0.0,0-1,500.0,739.0
1375,Apartment in bld with 5+ units,Marine,2000-2009,783.0,Individual,C: 5-9 yrs,Other individual,0.0,,,0-2,0.0,,NA,Rented,5.05,63.58,208.94,0,,0-1,531.57,809.1400000000001
1376,Detached house,Mixed-Humid,2000-2009,1988.0,Central,C: 5-9 yrs,Central furnace,1.0,1.0,1.0,3,1.0,2.0,Split-level,Owned,179.15,370.3,290.88,0,0.0,2.5-3.5,1482.98,2323.31
1377,Detached house,Cold/Very Cold,.<1950,2419.0,Both central and individual,E: 15-19 yrs,Central furnace,0.0,1.0,1.0,0-2,0.0,,1,Owned,66.73,886.56,155.09,0,0.0,1.5-2,1357.04,2465.42
1378,Detached house,Cold/Very Cold,1970-1979,3272.0,Central,B: 2-4 yrs,Central furnace,0.0,1.0,1.0,4,1.0,2.0,1,Owned,227.68,690.53,547.02,0,0.0,1.5-2,1969.2299999999998,3434.46
1379,Attached house,Hot-Dry/Mixed-Dry,1980-1989,1992.0,Central,C: 5-9 yrs,Central furnace,1.0,1.0,0.0,3,1.0,2.0,2,Owned,270.79,108.02,186.32,0,0.0,2.5-3.5,1632.03,2197.16
1380,Detached house,Hot-Dry/Mixed-Dry,1980-1989,1031.0,Central,C: 5-9 yrs,Central heat pump,1.0,0.0,0.0,3,0.0,2.0,1,Owned,603.25,115.86,158.99,0,1.0,1.5-2,866.99,1745.0900000000001
1381,Detached house,Mixed-Humid,2000-2009,1540.0,Central,C: 5-9 yrs,Central furnace,0.0,0.0,0.0,4,1.0,,2,Owned,156.9,815.94,543.96,0,0.0,1.5-2,2001.63,3518.4300000000003
1382,Attached house,Hot-Dry/Mixed-Dry,1980-1989,977.0,Both central and individual,B: 2-4 yrs,Central furnace,1.0,1.0,0.0,0-2,0.0,,2,Owned,40.7,32.17,211.23,0,0.0,1.5-2,337.71000000000004,621.8100000000001
1383,Detached house,Cold/Very Cold,2000-2009,1102.0,Central,D: 10-14 yrs,Central furnace,1.0,0.0,0.0,3,1.0,1.0,1,Owned,67.98,673.96,264.17,0,0.0,1.5-2,1223.67,2229.78
1384,Detached house,Hot-Humid,1970-1979,2308.0,Central,C: 5-9 yrs,Central furnace,0.0,0.0,0.0,3,0.0,3.0,1,Owned,477.06,589.7,454.34,0,0.0,1.5-2,1734.0100000000002,3255.11
1385,Detached house,Hot-Humid,1950-1959,2223.0,Individual,C: 5-9 yrs,Central furnace,0.0,1.0,0.0,4,0.0,,1,Owned,579.83,654.92,134.53,0,0.0,1.5-2,1072.4499999999998,2441.7299999999996
1386,Detached house,Hot-Humid,1960-1969,780.0,Individual,C: 5-9 yrs,Other individual,0.0,0.0,0.0,0-2,,,1,Owned,484.44,496.12,100.04,0,0.0,0-1,856.25,1936.85
1387,Detached house,Mixed-Humid,1950-1959,2202.0,Central,C: 5-9 yrs,Central furnace,0.0,1.0,1.0,0-2,1.0,,1,Owned,349.51,1017.12,434.82,0,0.0,1.5-2,1055.14,2856.59
1388,Attached house,Mixed-Humid,1950-1959,627.0,Individual,B: 2-4 yrs,Other individual,0.0,0.0,0.0,0-2,,,1,Rented,115.06,625.78,483.03,0,0.0,0-1,1276.21,2500.08
1389,Detached house,Cold/Very Cold,1990-1999,3500.0,Central,C: 5-9 yrs,Central furnace,1.0,1.0,1.0,4,1.0,2.0,2,Owned,105.05,511.67,291.51,0,0.0,2.5-3.5,1350.3600000000001,2258.59
1390,Apartment in bld with 5+ units,Hot-Dry/Mixed-Dry,1960-1969,902.0,None,None,None,0.0,,,0-2,,,NA,Rented,0.0,0.0,59.0,0,,0-1,322.84,381.84
1391,Detached house,Marine,1970-1979,1976.0,None,D: 10-14 yrs,Central furnace,0.0,0.0,0.0,3,1.0,2.0,1,Rented,0.0,864.7,563.01,0,0.0,2.5-3.5,2408.52,3836.23
1392,Detached house,Cold/Very Cold,1970-1979,4558.0,Central,E: 15-19 yrs,Other individual,1.0,0.0,1.0,+4,,3.0,2,Owned,175.51,494.48,1190.42,0,0.0,1.5-2,2108.8,3969.21
1393,Detached house,Marine,.<1950,725.0,None,B: 2-4 yrs,Other individual,0.0,0.0,0.0,3,,,1,Rented,0.0,77.47,339.2,0,0.0,1.5-2,719.24,1135.9099999999999
1394,Detached house,Cold/Very Cold,1950-1959,1776.0,Individual,C: 5-9 yrs,Central furnace,0.0,1.0,1.0,0-2,1.0,,1,Owned,86.46,515.85,144.64,0,0.0,0-1,1185.79,1932.74
1395,Detached house,Mixed-Humid,1960-1969,1644.0,Central,B: 2-4 yrs,Central furnace,0.0,1.0,0.0,0-2,1.0,,1,Owned,121.1,1036.31,107.21,0,0.0,1.5-2,419.90999999999997,1684.5299999999997
1396,Detached house,Hot-Humid,1980-1989,1507.0,Individual,A: -2 yrs,Other individual,1.0,0.0,0.0,3,,,Split-level,Owned,316.42,292.75,263.54,0,0.0,0-1,631.48,1504.19
1397,Detached house,Mixed-Humid,1960-1969,1653.0,Central,C: 5-9 yrs,Central furnace,0.0,0.0,0.0,4,0.0,,1,Owned,520.56,2160.23,206.77,0,0.0,1.5-2,736.1000000000001,3623.66
1398,Attached house,Cold/Very Cold,1990-1999,2574.0,Central,D: 10-14 yrs,Central furnace,1.0,0.0,1.0,4,0.0,2.0,2,Occupied,33.66,694.06,195.02,0,0.0,2.5-3.5,1361.34,2284.08
1399,Detached house,Mixed-Humid,2000-2009,6426.0,Central,A: -2 yrs,Central furnace,1.0,1.0,0.0,4,1.0,3.0,2,Owned,801.44,1248.6,510.88,0,1.0,+3.5,3324.1200000000003,5885.040000000001
1400,Detached house,Cold/Very Cold,1950-1959,2067.0,Both central and individual,C: 5-9 yrs,Central furnace,0.0,0.0,1.0,3,1.0,1.0,1,Owned,126.5,555.6,304.2,0,0.0,0-1,1395.18,2381.48
1401,Detached house,Hot-Dry/Mixed-Dry,2000-2009,2000.0,Central,C: 5-9 yrs,Central furnace,0.0,0.0,0.0,4,1.0,2.0,1,Owned,215.66,187.12,260.7,0,0.0,1.5-2,864.4399999999999,1527.92
1402,Detached house,Cold/Very Cold,2000-2009,2496.0,None,E: 15-19 yrs,Central water system,1.0,0.0,0.0,0-2,1.0,3.0,1,Owned,0.0,593.58,144.84,0,0.0,1.5-2,1215.46,1953.88
