,UNIT_TYPE,CLIMATE_REGION,DECADE_BUILT,HDD65,CDD65,FLOOR_AREA,FLOOR_AREA_log,COOL_TYPE,EQUIP_AGE,HEAT_TYPE,THERMOSTAT,HIGH_CEIL,ATTIC,BASEMENT,BEDROOMS,BATHROOMS,SIZEOFGARAGE,STORIES,OWNERSHIP,COOL_COST,COOL_COST_log,HEAT_COST,HEAT_COST_log,WATERHEAT_COST,WATERHEAT_COST_log,ELECT_COST,ELECT_COST_log
1659,Detached house,Mixed-Humid,1990-1999,4515.0,1159.0,3572.0,8.18088094199639,Central,C: 5-9 yrs,Central heat pump,0.0,1.0,1.0,1.0,5,3.0,2.0,1,Owned,227.95,5.42912630665945,1058.17,6.964296280039812,400.04,5.991564542108315,2102.86,7.651053601922283
1660,Detached house,Cold/Very Cold,1980-1989,6089.0,759.0,3294.0,8.099857910737585,Central,B: 2-4 yrs,Central furnace,1.0,1.0,1.0,1.0,3,2.0,2.0,1,Owned,135.09,4.90594122298159,638.28,6.458777058542227,143.51,4.96640471918284,1131.3100000000004,7.031131532281669
1661,Detached house,Mixed-Humid,1980-1989,3459.0,1699.0,1120.0,7.02108396428914,Individual,F: +20 yrs,Other individual,0.0,1.0,0.0,0.0,3,1.0,0.0,1,Owned,163.48,5.096690658696076,1065.37,6.971077435648297,209.92,5.346726505755724,1626.68,7.394296406866801
1662,Detached house,Mixed-Humid,2000-2009,3810.0,1743.0,3262.0,8.09009578318096,Central,C: 5-9 yrs,Central heat pump,1.0,1.0,0.0,1.0,4,3.0,1.0,1,Owned,200.88,5.30270771484933,435.83,6.077252259058164,299.98,5.703715805767214,1204.14,7.093520898178647
1663,Detached house,Cold/Very Cold,2000-2009,8436.0,327.0,1800.0,7.495541943884256,Central,C: 5-9 yrs,Central water system,0.0,0.0,1.0,0.0,3,2.0,1.0,2,Owned,14.76,2.6919208191723265,808.98,6.695774194874038,149.55,5.007630785075957,1018.55,6.926135326263567
1664,Detached house,Cold/Very Cold,.<1950,6514.0,638.0,2800.0,7.937374696163295,Individual,E: 15-19 yrs,Central furnace,1.0,1.0,1.0,1.0,4,1.0,0.0,2,Rented,25.11,3.2232661731694936,536.28,6.28465641273336,148.91,5.003342096602114,819.12,6.708230593266562
1665,Detached house,Hot-Humid,1980-1989,1564.0,2788.0,1400.0,7.24422751560335,Individual,E: 15-19 yrs,Other individual,0.0,0.0,0.0,0.0,4,1.5,1.0,1,Owned,195.1,5.273512247629066,200.9,5.302807271820889,766.19,6.641430180758773,2104.48,7.651823684720468
1666,Detached house,Hot-Humid,.<1950,1319.0,3576.0,1664.0,7.416979621381154,Central,D: 10-14 yrs,Central furnace,0.0,0.0,0.0,0.0,3,2.0,0.0,1,Owned,553.84,6.31687583636977,352.96,5.866354736065138,65.6,4.183575695950044,580.68,6.364199830593227
1667,Detached house,Mixed-Humid,1970-1979,2696.0,2170.0,2340.0,7.757906208351747,Central,B: 2-4 yrs,Other individual,1.0,0.0,1.0,0.0,3,2.0,2.0,1,Owned,368.9,5.91052560460263,1114.8,7.016430295607793,487.49,6.189269777406999,2688.4,7.896701500095811
1668,Mobile home,Hot-Humid,1980-1989,299.0,4435.0,770.0,6.646390514847729,Central,F: +20 yrs,Other individual,1.0,0.0,0.0,0.0,2,2.0,0.0,1,Owned,537.16,6.286296001712975,67.55,4.212868064406208,278.57,5.629669374284202,1574.2800000000002,7.36155330388094
1669,Detached house,Mixed-Humid,1960-1969,4605.0,1544.0,3195.0,8.069342366811636,Individual,E: 15-19 yrs,Other individual,0.0,0.0,0.0,0.0,5,2.0,1.0,2,Owned,373.91,5.92401512674444,1528.17,7.3318262200824185,959.26,6.866162153883774,4544.84,8.421747802471568
1670,Apartment in bld with 2-4 units,Cold/Very Cold,.<1950,5270.0,1201.0,1080.0,6.984716320118266,Individual,D: 10-14 yrs,Central water system,0.0,0.0,0.0,0.0,2,1.5,0.0,1,Rented,147.71,4.995250892052509,402.91,5.998713211943893,299.87,5.703349047406847,573.51,6.351775373209037
1671,Detached house,Mixed-Humid,1960-1969,3484.0,1683.0,3763.0,8.232971790593437,Central,C: 5-9 yrs,Central heat pump,0.0,0.0,1.0,0.0,4,2.0,0.0,2,Owned,508.31,6.231091497680546,1166.2,7.061505878788056,327.06,5.790143640304245,2562.68,7.848808864882115
1672,Detached house,Hot-Humid,.<1950,1561.0,2682.0,1692.0,7.433666540166168,Central,F: +20 yrs,Central furnace,0.0,0.0,1.0,0.0,3,2.0,0.0,1,Rented,936.88,6.842555205733881,317.83,5.761516648640389,223.75,5.410529357154965,821.37,6.710973677845981
1673,Detached house,Hot-Dry/Mixed-Dry,1950-1959,2260.0,1761.0,1075.0,6.980075940561763,Central,B: 2-4 yrs,Central furnace,1.0,0.0,0.0,0.0,3,1.0,0.0,1,Rented,190.69,5.250649072846535,261.86,5.567810009799607,295.04,5.687110940368229,1146.8,7.044730734009215
1674,Detached house,Hot-Humid,1960-1969,41.0,5277.0,1520.0,7.326465613840322,Central,None,None,0.0,0.0,0.0,0.0,3,2.0,2.0,1,Owned,400.82,5.993512448725283,0.0,0.0,142.47,4.9591314512291405,1110.17,7.0122684357327865
1675,Detached house,Marine,1970-1979,2934.0,331.0,1832.0,7.513163545234075,None,B: 2-4 yrs,Other individual,1.0,1.0,0.0,0.0,4,2.0,2.0,1,Owned,0.0,0.0,427.55,6.058071240601964,260.26,5.561681131348611,957.98,6.864826900926214
1676,Mobile home,Mixed-Humid,1970-1979,2796.0,1946.0,1008.0,6.915723448631314,Both central and individual,D: 10-14 yrs,Central furnace,1.0,0.0,0.0,0.0,3,2.0,0.0,1,Owned,250.32,5.522740099360627,447.16,6.102916472402125,570.14,6.345881944705495,2008.3,7.605043872042632
1677,Mobile home,Hot-Humid,1980-1989,509.0,3813.0,1120.0,7.02108396428914,Central,C: 5-9 yrs,Central heat pump,1.0,0.0,0.0,0.0,2,2.0,0.0,1,Owned,414.69,6.027531253144375,76.2,4.333361462692601,256.77,5.548180742561628,822.31,6.712117452914701
1678,Detached house,Hot-Humid,.<1950,1323.0,2869.0,1440.0,7.272398392570047,Central,E: 15-19 yrs,Central furnace,1.0,0.0,1.0,0.0,3,1.0,0.0,1,Owned,470.81,6.154454615602348,459.37,6.129855985554125,263.14,5.572686209937692,957.41,6.864231721858947
1679,Apartment in bld with 2-4 units,Cold/Very Cold,1950-1959,6761.0,576.0,1150.0,7.047517221357296,Individual,D: 10-14 yrs,Central furnace,1.0,0.0,0.0,0.0,2,1.0,0.0,1,Owned,74.35,4.308783672906164,400.84,5.993562345190128,239.06,5.476714566449835,894.79,6.796589053871809
1680,Mobile home,Marine,1990-1999,4364.0,210.0,1150.0,7.047517221357296,None,F: +20 yrs,Central furnace,0.0,0.0,0.0,0.0,2,2.0,0.0,1,Owned,0.0,0.0,445.75,6.09975825674325,728.0,6.590301048196686,1874.7,7.536203925603146
1681,Detached house,Mixed-Humid,1980-1989,4778.0,1238.0,3839.0,8.252967195000798,Central,D: 10-14 yrs,Central heat pump,1.0,0.0,1.0,1.0,3,2.5,2.0,1,Owned,123.72,4.818020947816869,546.52,6.303570903470287,170.84,5.1407274459732655,847.3299999999998,6.742090229163245
1682,Detached house,Cold/Very Cold,.<1950,5366.0,963.0,1575.0,7.362010551259734,Individual,D: 10-14 yrs,Central furnace,1.0,0.0,1.0,1.0,3,1.0,0.0,2,Owned,99.86,4.603769205072463,291.36,5.674559615979298,240.62,5.483218925605378,1160.17,7.0563218250868935
1683,Apartment in bld with 2-4 units,Cold/Very Cold,.<1950,6247.0,869.0,434.0,6.073044534100405,None,A: -2 yrs,Other individual,0.0,1.0,0.0,0.0,0,1.0,0.0,1,Owned,0.0,0.0,0.0,0.0,272.0,5.605802066295998,554.0,6.317164686747284
1684,Detached house,Mixed-Humid,1970-1979,2780.0,1918.0,3916.0,8.272826003650401,Both central and individual,D: 10-14 yrs,Central heat pump,1.0,0.0,1.0,0.0,3,2.0,2.0,1,Owned,351.32,5.861697489048916,703.15,6.555570240316257,688.43,6.5344136427021855,2420.35,7.79166743679227
1685,Detached house,Hot-Dry/Mixed-Dry,2000-2009,583.0,5928.0,2106.0,7.652545692693921,Central,D: 10-14 yrs,Central furnace,0.0,1.0,0.0,0.0,4,2.5,3.0,1,Owned,1096.54,6.999915046900737,458.87,6.1287669455440685,222.62,5.405466282065079,1031.96,6.93921518560041
1686,Apartment in bld with 5+ units,Hot-Dry/Mixed-Dry,1990-1999,815.0,1542.0,1122.0,7.022868086082641,Central,E: 15-19 yrs,Central furnace,0.0,0.0,0.0,0.0,2,2.0,0.0,1,Owned,90.14,4.501364017262502,18.66,2.926382195419198,407.55,6.010163624540467,850.32,6.745612749225327
1687,Detached house,Cold/Very Cold,1970-1979,6049.0,764.0,4096.0,8.317766166719343,Central,A: -2 yrs,Central furnace,1.0,0.0,1.0,1.0,5,3.0,2.0,1,Owned,245.59,5.503663478831665,799.68,6.684211647646587,193.55,5.265535877023657,1081.0700000000004,6.9857065703993175
1688,Detached house,Mixed-Humid,1990-1999,2425.0,2691.0,3960.0,8.283999304248526,Central,E: 15-19 yrs,Central heat pump,1.0,1.0,1.0,0.0,4,2.5,0.0,2,Owned,641.27,6.46345058508243,595.25,6.388981485366972,431.64,6.067591907495533,1897.73,7.5484137140454015
1689,Detached house,Cold/Very Cold,1950-1959,6160.0,667.0,1656.0,7.412160334945205,Individual,D: 10-14 yrs,Central furnace,0.0,0.0,1.0,1.0,3,1.0,0.0,1,Rented,118.44,4.774406503233391,415.64,6.029819500984446,1021.55,6.929076360685821,1728.56,7.455043970937415
1690,Detached house,Marine,2010-2015,4052.0,441.0,2430.0,7.795646536334594,Individual,A: -2 yrs,Central furnace,0.0,1.0,1.0,0.0,3,2.0,0.0,1,Occupied,23.77,3.1684242813721024,594.3,6.387384242372615,301.98,5.710360790016324,1499.77,7.313067042000211
1691,Detached house,Hot-Dry/Mixed-Dry,2000-2009,1737.0,3382.0,1984.0,7.592870287844818,Central,C: 5-9 yrs,Central furnace,1.0,0.0,0.0,0.0,7,4.0,0.0,1,Owned,610.11,6.413639268779094,1331.12,7.193775972107252,573.43,6.351635871578385,3739.2,8.226626963784593
1692,Detached house,Cold/Very Cold,2000-2009,5405.0,1193.0,2288.0,7.7354333524996886,Central,F: +20 yrs,Central furnace,1.0,1.0,1.0,1.0,3,2.0,2.0,1,Owned,250.4,5.523059639225943,591.05,6.381900616196386,59.91,4.0928434360958335,1964.85,7.583171185511768
1693,Detached house,Mixed-Humid,1970-1979,2486.0,2341.0,2040.0,7.620705086838262,Both central and individual,A: -2 yrs,Central furnace,1.0,0.0,0.0,0.0,3,3.0,0.0,1,Owned,206.37,5.3296706742060325,135.92,4.912066477363677,312.93,5.74597952335599,1373.23,7.2249209081261405
1694,Detached house,Hot-Humid,1960-1969,2090.0,2765.0,1979.0,7.590346945602565,Central,B: 2-4 yrs,Central furnace,1.0,0.0,1.0,0.0,4,2.0,2.0,1,Owned,471.82,6.156597556918686,389.39,5.964581412074193,144.26,4.971617227075527,932.3,6.837654651302648
1695,Detached house,Cold/Very Cold,1980-1989,6146.0,671.0,3908.0,8.270781013162674,Individual,F: +20 yrs,Central water system,1.0,1.0,1.0,1.0,4,2.5,2.0,2,Owned,127.07,4.844738115716443,1349.64,7.207593169203931,283.18,5.646082737856825,1832.45,7.5134091482589564
1696,Apartment in bld with 5+ units,Mixed-Humid,.<1950,4319.0,1855.0,736.0,6.601230118728877,Individual,F: +20 yrs,Central water system,0.0,0.0,0.0,0.0,2,1.0,0.0,1,Rented,180.79,5.197336136693923,178.42,5.184140321485637,368.86,5.91041716825466,710.21,6.5655607009505506
1697,Detached house,Mixed-Humid,2000-2009,4518.0,1417.0,4150.0,8.330863613224745,Central,D: 10-14 yrs,Central furnace,1.0,1.0,0.0,1.0,3,3.0,2.0,1,Owned,516.58,6.247230165239447,709.46,6.564504117280017,144.43,4.972794961113076,1530.48,7.333336690675126
1698,Detached house,Cold/Very Cold,1970-1979,5594.0,1039.0,1852.0,7.524021415206125,Central,F: +20 yrs,Central furnace,1.0,0.0,0.0,1.0,4,1.0,0.0,1,Owned,293.01,5.680206738127495,254.63,5.53981151107484,232.8,5.450179715857283,606.09,6.407028489893561
1699,Detached house,Mixed-Humid,2000-2009,4847.0,1214.0,2078.0,7.639161171659173,Central,D: 10-14 yrs,Central furnace,1.0,1.0,1.0,0.0,4,2.5,1.0,2,Owned,355.72,5.874143904531439,2555.7,7.846081437716904,666.11,6.5014548220672905,4366.53,8.381723922321425
1700,Detached house,Cold/Very Cold,.<1950,6646.0,527.0,2178.0,7.686162303492906,Central,B: 2-4 yrs,Central furnace,1.0,0.0,1.0,1.0,3,1.0,0.0,1,Owned,114.43,4.739963282329623,307.07,5.727075734625493,165.63,5.109756384964063,451.7600000000001,6.1131510653645815
1701,Detached house,Mixed-Humid,1980-1989,2584.0,1802.0,2070.0,7.635303886259415,Central,D: 10-14 yrs,Central furnace,0.0,0.0,0.0,0.0,4,3.0,0.0,1,Owned,248.57,5.51572449601031,891.39,6.79278204214125,332.13,5.805526458539485,1578.43,7.364185961116734
1702,Detached house,Cold/Very Cold,.<1950,6791.0,719.0,2645.0,7.8804263442924,Individual,F: +20 yrs,Central water system,1.0,1.0,1.0,1.0,3,2.0,2.0,2,Owned,112.22,4.720461230322826,577.77,6.3591758656042305,150.31,5.012699828145135,716.6999999999998,6.574657342999873
1703,Attached house,Hot-Dry/Mixed-Dry,1950-1959,2207.0,1895.0,1496.0,7.310550158534422,Central,B: 2-4 yrs,Central furnace,0.0,0.0,1.0,0.0,2,2.0,0.0,2,Rented,348.97,5.854985958622278,313.95,5.749233737560118,172.51,5.1504552058056525,710.1800000000002,6.565518459031072
1704,Detached house,Mixed-Humid,1990-1999,4131.0,1438.0,2700.0,7.90100705199242,Central,E: 15-19 yrs,Central furnace,1.0,1.0,1.0,1.0,4,3.0,2.0,1,Owned,227.52,5.427238146614876,438.04,6.0823102304075585,282.29,5.642934911323486,1440.46,7.2727177860029775
1705,Mobile home,Mixed-Humid,1960-1969,3593.0,1684.0,952.0,6.858565034791365,None,C: 5-9 yrs,Other individual,0.0,0.0,0.0,0.0,2,1.0,0.0,1,Owned,0.0,0.0,0.0,0.0,123.25,4.814214812922799,325.87,5.7864985288294735
1706,Apartment in bld with 5+ units,Mixed-Humid,1990-1999,2505.0,1807.0,425.0,6.052089168924417,None,E: 15-19 yrs,Central furnace,0.0,0.0,0.0,0.0,2,1.5,0.0,1,Rented,0.0,0.0,45.94,3.8273361972609523,171.39,5.14394166140448,234.0,5.455321115357702
1707,Apartment in bld with 5+ units,Mixed-Humid,1970-1979,3067.0,2084.0,808.0,6.694562058521095,Both central and individual,E: 15-19 yrs,Central heat pump,0.0,0.0,0.0,0.0,2,1.0,0.0,1,Rented,115.58,4.749962930889632,194.1,5.268373490174964,498.38,6.211362838257163,1356.52,7.21267787581632
1708,Attached house,Cold/Very Cold,2000-2009,5547.0,1077.0,3720.0,8.221478947267192,Central,E: 15-19 yrs,Central furnace,1.0,0.0,1.0,1.0,2,2.0,2.0,1,Owned,200.75,5.302060352826871,320.63,5.7702878103453505,118.89,4.778198695870453,754.31,6.62580342409638
1709,Detached house,Marine,2010-2015,3721.0,654.0,1890.0,7.5443321080536885,None,C: 5-9 yrs,Other individual,0.0,0.0,0.0,0.0,3,1.0,0.0,1,Owned,0.0,0.0,0.0,0.0,373.47,5.9228376800618046,776.39,6.654654971253124
1710,Mobile home,Mixed-Humid,1980-1989,3971.0,1665.0,938.0,6.843749949006225,Individual,B: 2-4 yrs,Central furnace,0.0,0.0,0.0,0.0,3,2.0,0.0,1,Owned,75.96,4.330206885944085,460.61,6.132551697962893,809.38,6.696268522474999,1358.36,7.214033368715991
1711,Detached house,Mixed-Humid,1960-1969,4610.0,1317.0,1900.0,7.549609165154532,Central,D: 10-14 yrs,Central furnace,1.0,0.0,1.0,1.0,3,1.5,1.0,1,Owned,216.46,5.377405772867,521.05,6.2558460064384365,191.43,5.254522206548366,679.0699999999998,6.520724215028506
1712,Detached house,Mixed-Humid,1970-1979,3943.0,1029.0,2035.0,7.618251097876695,Central,F: +20 yrs,Central heat pump,1.0,0.0,1.0,0.0,3,2.0,1.0,3,Occupied,178.97,5.187218194029317,454.75,6.119747817398232,263.14,5.572686209937692,1303.3,7.172654788536674
1713,Attached house,Mixed-Humid,1970-1979,3292.0,1574.0,1152.0,7.049254841255837,Central,D: 10-14 yrs,Central heat pump,1.0,0.0,0.0,0.0,2,2.5,0.0,2,Rented,131.09,4.875884110209718,155.25,5.045036720813588,240.24,5.481638423675075,859.52,6.756374093894818
1714,Detached house,Mixed-Humid,1950-1959,3952.0,1251.0,3056.0,8.024862150286411,Individual,F: +20 yrs,Other individual,0.0,0.0,1.0,1.0,1,1.0,1.0,2,Owned,31.63,3.4541060373175574,45.12,3.8093256071898036,70.38,4.253909131893439,442.34,6.0920788171405755
1715,Attached house,Marine,1980-1989,4070.0,429.0,875.0,6.774223886357614,None,D: 10-14 yrs,Central heat pump,1.0,0.0,1.0,0.0,2,1.0,0.0,1,Rented,0.0,0.0,180.42,5.195287466228493,231.32,5.443802033290018,1409.28,7.250834214654206
1716,Detached house,Cold/Very Cold,1950-1959,6188.0,759.0,1800.0,7.495541943884256,Central,D: 10-14 yrs,Central furnace,1.0,1.0,0.0,1.0,5,2.0,0.0,1,Owned,71.1,4.264087336809195,987.49,6.895166370141724,231.51,5.444623069137621,351.0499999999999,5.860928663463257
1717,Detached house,Mixed-Humid,.<1950,2556.0,1845.0,1812.0,7.502186486602924,Central,A: -2 yrs,Central furnace,1.0,1.0,0.0,0.0,3,2.5,2.0,1,Owned,531.32,6.275364476264302,434.01,6.073067575309609,251.25,5.526448459373285,772.5199999999999,6.649657898404398
1718,Detached house,Hot-Humid,2000-2009,1356.0,3491.0,2408.0,7.786551806428712,Central,D: 10-14 yrs,Central furnace,0.0,0.0,1.0,0.0,3,2.0,2.0,1,Rented,307.49,5.728442566392572,281.63,5.6405941527004435,328.06,5.79319651848434,1059.67,6.9657128178810295
1719,Detached house,Hot-Dry/Mixed-Dry,1970-1979,758.0,1896.0,785.0,6.665683717782408,None,F: +20 yrs,Central furnace,1.0,0.0,1.0,0.0,3,2.0,2.0,1,Rented,0.0,0.0,72.97,4.290048397777529,358.98,5.8832666766299955,1045.99,6.952719084349724
1720,Attached house,Cold/Very Cold,.<1950,5304.0,1080.0,3432.0,8.140898460607852,None,A: -2 yrs,Central water system,0.0,1.0,1.0,1.0,3,1.0,0.0,2,Owned,0.0,0.0,851.13,6.74656487836364,91.53,4.516666787396688,590.63,6.38118976382064
1721,Apartment in bld with 5+ units,Cold/Very Cold,.<1950,7077.0,568.0,639.0,6.459904454377535,None,B: 2-4 yrs,Central water system,0.0,0.0,0.0,0.0,1,1.0,0.0,1,Rented,0.0,0.0,321.69,5.773588348900164,141.9,4.955122584165997,354.78,5.871497879060794
1722,Detached house,Marine,1990-1999,4028.0,456.0,1792.0,7.491087593534876,Individual,F: +20 yrs,Other individual,0.0,1.0,0.0,0.0,3,2.0,2.0,1,Owned,15.57,2.745345985845907,677.15,6.51789281410138,594.12,6.387081319161332,1877.15,7.5375099481510865
1723,Detached house,Hot-Humid,2010-2015,1400.0,3388.0,1606.0,7.381501894506707,Central,C: 5-9 yrs,Central furnace,1.0,0.0,0.0,0.0,3,2.5,1.0,2,Rented,277.88,5.62718936582468,189.05,5.242011530336942,296.56,5.692249558842477,1123.9699999999998,7.024622339705982
1724,Apartment in bld with 5+ units,Hot-Dry/Mixed-Dry,1980-1989,1944.0,2304.0,800.0,6.684611727667927,Central,B: 2-4 yrs,Central furnace,1.0,0.0,0.0,0.0,2,1.0,0.0,1,Rented,54.26,3.9937873072307855,47.23,3.8550292839080256,95.29,4.556924873360097,292.3400000000001,5.677917508461147
1725,Apartment in bld with 2-4 units,Cold/Very Cold,.<1950,5566.0,1023.0,1512.0,7.321188556739478,Individual,A: -2 yrs,Central furnace,1.0,0.0,0.0,0.0,3,2.0,0.0,1,Owned,55.74,4.020698022053802,465.68,6.14349870296348,228.53,5.431667492744793,686.26,6.531256564666569
1726,Detached house,Mixed-Humid,2000-2009,2033.0,2492.0,1574.0,7.3613754289773485,Central,A: -2 yrs,Central heat pump,1.0,0.0,1.0,0.0,3,2.0,0.0,1,Owned,218.6,5.387243575742438,249.22,5.518336040514722,326.07,5.787112082243206,1402.0500000000004,7.245690730296703
1727,Detached house,Hot-Humid,2000-2009,1327.0,2881.0,2118.0,7.658227526161352,Central,B: 2-4 yrs,Other individual,1.0,0.0,1.0,0.0,4,2.0,0.0,1,Rented,636.31,6.455685865972554,483.6,6.1812581187406375,708.74,6.563488745594982,3230.39,8.080358151961905
1728,Detached house,Cold/Very Cold,1950-1959,7355.0,495.0,2576.0,7.853993087224244,Central,E: 15-19 yrs,Central furnace,1.0,0.0,0.0,1.0,4,1.5,0.0,2,Owned,93.76,4.540738325828703,1665.44,7.417844631767158,261.76,5.567428053414382,909.36,6.812741055378455
1729,Apartment in bld with 5+ units,Hot-Dry/Mixed-Dry,2000-2009,596.0,1554.0,552.0,6.313548046277095,Central,C: 5-9 yrs,Other individual,0.0,1.0,0.0,0.0,1,1.0,0.0,1,Rented,32.27,3.4741380060638707,20.09,3.000222178826843,435.76,6.077091633075419,876.73,6.776199077240284
1730,Detached house,Hot-Humid,1950-1959,1070.0,3041.0,1344.0,7.203405521083095,Individual,A: -2 yrs,Other individual,0.0,1.0,0.0,0.0,3,2.0,0.0,1,Owned,653.17,6.481837432301244,395.74,5.980757429964294,226.25,5.421640582580036,864.42,6.762058761801437
1731,Detached house,Mixed-Humid,1950-1959,4188.0,1371.0,1200.0,7.090076835776092,Central,D: 10-14 yrs,Central furnace,1.0,0.0,0.0,0.0,3,1.0,0.0,1,Owned,160.49,5.078231635333065,535.48,6.283163540917697,76.3,4.334672938290411,764.89,6.639732032637967
1732,Detached house,Hot-Humid,1980-1989,368.0,3902.0,1186.0,7.078341579557671,Central,F: +20 yrs,Central furnace,1.0,0.0,1.0,0.0,3,2.0,2.0,1,Owned,339.98,5.828886792350624,81.1,4.395682961121367,260.74,5.563523742234633,458.26,6.127436708631197
1733,Attached house,Mixed-Humid,.<1950,4782.0,1487.0,1750.0,7.4673710669175595,Individual,C: 5-9 yrs,Central water system,1.0,1.0,0.0,0.0,3,2.0,1.0,2,Owned,268.42,5.59255291796966,1080.39,6.985077366044451,398.24,5.987054838619282,879.1999999999997,6.779012403089411
1734,Mobile home,Mixed-Humid,2000-2009,4019.0,1142.0,2496.0,7.822444729489319,Both central and individual,E: 15-19 yrs,Central furnace,0.0,0.0,0.0,0.0,3,2.0,0.0,1,Owned,37.36,3.620600613360642,159.9,5.074548619839908,159.92,5.074673690192145,435.78,6.077137528846132
1735,Detached house,Hot-Dry/Mixed-Dry,1970-1979,1733.0,3424.0,1835.0,7.51479976048867,Central,E: 15-19 yrs,Central furnace,1.0,0.0,1.0,0.0,4,2.0,0.0,1,Owned,411.94,6.020877707676331,313.03,5.746299032592525,475.94,6.16529179586623,1759.9,7.4730122682361655
1736,Detached house,Hot-Humid,.<1950,1365.0,3471.0,1392.0,7.238496840894365,Central,A: -2 yrs,Central furnace,0.0,0.0,0.0,0.0,2,2.0,0.0,1,Owned,471.75,6.156449184248659,188.0,5.236441962829949,83.43,4.424007956913983,392.44000000000005,5.97238365929519
1737,Detached house,Marine,1970-1979,1913.0,776.0,1601.0,7.3783837129967145,Central,C: 5-9 yrs,Central furnace,1.0,1.0,1.0,0.0,4,2.0,2.0,1,Owned,169.98,5.13568078307048,116.48,4.757719584448376,146.07,4.984085958862719,856.94,6.753367904478237
1738,Mobile home,Hot-Humid,2000-2009,328.0,4386.0,728.0,6.590301048196686,Central,C: 5-9 yrs,Central heat pump,0.0,0.0,0.0,0.0,2,2.0,0.0,1,Rented,668.93,6.505679420871968,62.17,4.129872568281246,224.79,5.415166633044329,1036.2400000000002,6.943354056222001
1739,Detached house,Mixed-Humid,2010-2015,2441.0,2604.0,2498.0,7.823245690685523,Central,B: 2-4 yrs,Central furnace,0.0,0.0,1.0,0.0,5,3.0,2.0,2,Owned,370.31,5.91434049268591,567.03,6.340412212380975,425.27,6.0527242613281835,1087.28,6.991434443647091
1740,Apartment in bld with 2-4 units,Cold/Very Cold,.<1950,5316.0,1153.0,858.0,6.754604099487962,Individual,C: 5-9 yrs,Central water system,0.0,0.0,0.0,0.0,0,1.0,0.0,1,Rented,153.45,5.033374781065745,153.07,5.030895333103616,192.34,5.259264639284336,364.55,5.89866371625244
1741,Detached house,Marine,.<1950,3985.0,484.0,2400.0,7.783224016336037,Individual,F: +20 yrs,Other individual,0.0,1.0,1.0,0.0,3,1.0,0.0,1,Owned,35.63,3.5731879796177446,326.9,5.789654313730165,185.26,5.221760243825881,856.15,6.75244559443498
1742,Detached house,Cold/Very Cold,1950-1959,5862.0,774.0,3947.0,8.280711075662847,Central,B: 2-4 yrs,Central furnace,1.0,0.0,1.0,1.0,4,2.5,2.0,1,Owned,166.47,5.114815113005919,657.61,6.4886120504389995,135.08,4.905867195517367,1116.53,7.017980940601271
1743,Detached house,Marine,1960-1969,1959.0,507.0,4856.0,8.487970332739334,None,F: +20 yrs,Central furnace,0.0,0.0,1.0,1.0,4,3.0,2.0,2,Owned,0.0,0.0,275.12,5.617207366124011,112.41,4.722152901473706,1463.4,7.28851777444993
1744,Detached house,Marine,1960-1969,2018.0,439.0,2216.0,7.703459047867175,None,C: 5-9 yrs,Other individual,0.0,0.0,0.0,0.0,4,2.0,1.0,1,Rented,0.0,0.0,471.62,6.156173576585022,248.04,5.513590023481677,1233.54,7.117643363493897
1745,Detached house,Cold/Very Cold,.<1950,5009.0,1101.0,1768.0,7.477604243197589,Individual,D: 10-14 yrs,Central furnace,0.0,1.0,1.0,0.0,3,1.0,0.0,1,Rented,54.66,4.001132180499922,836.4,6.729106967554478,231.93,5.446435602000493,1431.53,7.266499081356646
1746,Mobile home,Mixed-Humid,2000-2009,2818.0,1802.0,1323.0,7.187657164114956,Central,C: 5-9 yrs,Central heat pump,0.0,0.0,0.0,0.0,4,2.0,0.0,1,Owned,160.58,5.078792260756538,314.9,5.752255128106979,811.73,6.699167772551929,1776.46,7.4823778990240815
1747,Mobile home,Hot-Humid,2000-2009,316.0,4302.0,2496.0,7.822444729489319,Central,A: -2 yrs,Other individual,0.0,0.0,0.0,0.0,4,2.5,0.0,1,Owned,806.03,6.692120962657622,102.41,4.628984364087346,412.46,6.022139231375901,2089.62,7.6447375102461095
1748,Detached house,Hot-Humid,2010-2015,1317.0,3104.0,4464.0,8.403800504061147,Central,B: 2-4 yrs,Central furnace,1.0,1.0,1.0,0.0,4,3.5,2.0,2,Owned,643.53,6.466968645996121,344.32,5.841571457533365,201.98,5.308168682598411,1048.53,6.955144462235941
1749,Apartment in bld with 2-4 units,Hot-Humid,2000-2009,80.0,4955.0,1515.0,7.323170717943469,Central,None,None,0.0,0.0,0.0,0.0,2,1.5,0.0,1,Rented,268.18,5.591658396851496,0.0,0.0,110.51,4.705106014600691,369.41,5.911907138324555
1750,Attached house,Hot-Humid,2000-2009,834.0,3553.0,1099.0,7.002155954403621,Central,D: 10-14 yrs,Central furnace,0.0,1.0,0.0,0.0,2,2.5,0.0,2,Rented,183.84,5.2140658141004455,76.74,4.340423084818807,196.47,5.280509747898072,954.58,6.861271453168575
1751,Detached house,Cold/Very Cold,.<1950,7730.0,412.0,7008.0,8.854807632616227,Individual,E: 15-19 yrs,Central furnace,0.0,1.0,1.0,1.0,4,1.5,0.0,2,Owned,33.45,3.5100517865742376,3867.37,8.2603299684369,832.66,6.7246253955802375,806.5999999999998,6.692827882439268
